aCompCor00,aCompCor01,aCompCor02,aCompCor03,aCompCor04,aCompCor05,X,Y,Z,RotX,RotY,RotZ,Xsq,Ysq,Zsq,RotXsq,RotYsq,RotZsq,X_t-1,Y_t-1,Z_t-1,RotX_t-1,RotY_t-1,RotZ_t-1,Xsq_t-1,Ysq_t-1,Zsq_t-1,RotXsq_t-1,RotYsq_t-1,RotZsq_t-1
-0.1438762192,-0.0190063268,-0.038952493,-0.0557282865,0.0624564362,-0.0465422489,0.0298927,-0.0121259,0.00103999,-0.00017571200000000001,7.21129e-05,0.000296198,0.0008935735132900001,0.00014703745081000002,1.0815792001e-06,3.0874706944000004e-08,5.20027034641e-09,8.7733255204e-08,0.0444736,-0.00195187,0.00736401,7.615189999999999e-06,-0.0,0.00045212,0.00197790109696,3.8097964969000004e-06,5.4228643280099995e-05,5.7991118736099985e-11,0.0,2.044124944e-07
0.0278709411,0.0708621652,0.0449118306,-0.1409292247,0.050743199999999995,-0.0302894411,0.029876299999999998,-0.012107399999999999,0.018999000000000002,0.00031217,0.000157895,0.00035295599999999997,0.0008925933016899999,0.00014658913475999998,0.0003609620010000001,9.74501089e-08,2.4930831024999998e-08,1.2457793793599997e-07,0.0298927,-0.0121259,0.00103999,-0.00017571200000000001,7.21129e-05,0.000296198,0.0008935735132900001,0.00014703745081000002,1.0815792001e-06,3.0874706944000004e-08,5.20027034641e-09,8.7733255204e-08
0.0398988761,0.07998876490000001,-0.0919446352,0.0943238318,0.0200899995,-0.05629786990000001,0.0510686,-0.0122803,0.025757799999999997,-0.00142834,1.9955699999999999e-22,0.0009484280000000001,0.0026080019059599997,0.00015080576808999997,0.0006634642608399999,2.0401551556e-06,3.9822996248999996e-44,8.995156711840001e-07,0.029876299999999998,-0.012107399999999999,0.018999000000000002,0.00031217,0.000157895,0.00035295599999999997,0.0008925933016899999,0.00014658913475999998,0.0003609620010000001,9.74501089e-08,2.4930831024999998e-08,1.2457793793599997e-07
0.0759011721,-0.1152868006,0.0486797355,2.86089e-05,-0.0002231697,0.0455520659,0.036495400000000004,-0.012343600000000001,0.018606,-0.000105555,-0.0,0.00022087400000000003,0.0013319142211600003,0.00015236446096000004,0.00034618323600000005,1.1141858025e-08,0.0,4.8785323876000015e-08,0.0510686,-0.0122803,0.025757799999999997,-0.00142834,1.9955699999999999e-22,0.0009484280000000001,0.0026080019059599997,0.00015080576808999997,0.0006634642608399999,2.0401551556e-06,3.9822996248999996e-44,8.995156711840001e-07
-0.07428677610000001,-0.0835043726,0.0755076159,-0.0099493799,-0.0582706713,0.0189694631,0.05928099999999999,-0.010441299999999999,0.0186056,0.000205703,-0.0,0.000412031,0.003514236960999999,0.00010902074568999998,0.00034616835136,4.2313724209e-08,0.0,1.69769544961e-07,0.036495400000000004,-0.012343600000000001,0.018606,-0.000105555,-0.0,0.00022087400000000003,0.0013319142211600003,0.00015236446096000004,0.00034618323600000005,1.1141858025e-08,0.0,4.8785323876000015e-08
-0.06096126950000001,0.0988923129,-0.0238294139,-0.0373059971,-0.1408807847,0.047096469800000006,0.0301954,-0.0146567,0.018606,-0.000105555,4.90379e-24,0.000361836,0.0009117621811600001,0.00021481885489,0.00034618323600000005,1.1141858025e-08,2.40471563641e-47,1.3092529089599998e-07,0.05928099999999999,-0.010441299999999999,0.0186056,0.000205703,-0.0,0.000412031,0.003514236960999999,0.00010902074568999998,0.00034616835136,4.2313724209e-08,0.0,1.69769544961e-07
0.0665653655,0.0384803344,0.0296743599,-0.1190728122,0.0363620129,-0.1051264343,0.0364891,-0.017258000000000003,0.028609100000000002,0.000272748,-0.0,0.00056776,0.0013314544188099998,0.0002978385640000001,0.0008184806028100001,7.4391471504e-08,0.0,3.2235141760000005e-07,0.0301954,-0.0146567,0.018606,-0.000105555,4.90379e-24,0.000361836,0.0009117621811600001,0.00021481885489,0.00034618323600000005,1.1141858025e-08,2.40471563641e-47,1.3092529089599998e-07
0.0567489269,0.0303007224,-0.0865693388,0.0440428338,-0.07989959049999999,-0.1321419648,0.0364924,0.000204925,0.028606,-0.000105555,1.7409199999999994e-24,0.000128457,0.0013316952577600001,4.1994255625000006e-08,0.000818303236,1.1141858025e-08,3.030802446399998e-48,1.6501200849e-08,0.0364891,-0.017258000000000003,0.028609100000000002,0.000272748,-0.0,0.00056776,0.0013314544188099998,0.0002978385640000001,0.0008184806028100001,7.4391471504e-08,0.0,3.2235141760000005e-07
0.051057311,-0.1314572244,0.0454476664,-0.0450124634,0.0185892006,-0.1167156163,0.059746400000000005,0.00409421,0.0286158,0.000144445,0.00025,0.000385614,0.0035696323129600005,1.67625555241e-05,0.00081886400964,2.0864358024999998e-08,6.25e-08,1.48698156996e-07,0.0364924,0.000204925,0.028606,-0.000105555,1.7409199999999994e-24,0.000128457,0.0013316952577600001,4.1994255625000006e-08,0.000818303236,1.1141858025e-08,3.030802446399998e-48,1.6501200849e-08
-0.17131852690000002,-0.0155605758,0.051813969800000005,0.0190695708,-0.0055099466,-0.1482812832,0.06735269999999999,0.00410162,0.014890500000000001,-0.000105555,-0.000304877,0.000202376,0.0045363861972899985,1.6823286624400004e-05,0.00022172699025000003,1.1141858025e-08,9.2949985129e-08,4.0956045375999994e-08,0.059746400000000005,0.00409421,0.0286158,0.000144445,0.00025,0.000385614,0.0035696323129600005,1.67625555241e-05,0.00081886400964,2.0864358024999998e-08,6.25e-08,1.48698156996e-07
0.0297244925,0.1009743966,0.1471281661,-0.0487212772,-0.0816236879,-0.0265678052,0.05934069999999999,0.0006284530000000001,0.0286126,-0.000105555,0.000142587,0.000221489,0.003521318676489999,3.949531732090001e-07,0.0008186808787599999,1.1141858025e-08,2.0331052569000002e-08,4.9057377121000005e-08,0.06735269999999999,0.00410162,0.014890500000000001,-0.000105555,-0.000304877,0.000202376,0.0045363861972899985,1.6823286624400004e-05,0.00022172699025000003,1.1141858025e-08,9.2949985129e-08,4.0956045375999994e-08
0.1143162603,0.0590136086,0.12659781050000002,0.0585826441,-0.046001085,-0.0552759033,0.067346,0.00406474,0.0285827,-0.000105555,-0.00022926400000000002,0.00056776,0.0045354837160000005,1.6522111267599998e-05,0.00081697073929,1.1141858025e-08,5.2561981696000006e-08,3.2235141760000005e-07,0.05934069999999999,0.0006284530000000001,0.0286126,-0.000105555,0.000142587,0.000221489,0.003521318676489999,3.949531732090001e-07,0.0008186808787599999,1.1141858025e-08,2.0331052569000002e-08,4.9057377121000005e-08
0.0459054034,-0.008111764300000001,0.0206156581,0.1487483956,-0.16009752019999998,-0.0035502102000000008,0.049664599999999996,-0.019152799999999998,0.028599400000000004,-0.000105555,-1.40766e-05,0.00056776,0.0024665724931599996,0.0003668297478399999,0.0008179256803600003,1.1141858025e-08,1.9815066756e-10,3.2235141760000005e-07,0.067346,0.00406474,0.0285827,-0.000105555,-0.00022926400000000002,0.00056776,0.0045354837160000005,1.6522111267599998e-05,0.00081697073929,1.1141858025e-08,5.2561981696000006e-08,3.2235141760000005e-07
-0.0158875694,-0.1176508169,0.1073008466,-0.0476794679,-0.1406146854,0.1161379805,0.0682871,-0.0127472,0.028600900000000002,-0.000105555,-3.93571e-05,0.00056776,0.004663128026410001,0.00016249110784000002,0.0008180114808100001,1.1141858025e-08,1.5489813204100002e-09,3.2235141760000005e-07,0.049664599999999996,-0.019152799999999998,0.028599400000000004,-0.000105555,-1.40766e-05,0.00056776,0.0024665724931599996,0.0003668297478399999,0.0008179256803600003,1.1141858025e-08,1.9815066756e-10,3.2235141760000005e-07
-0.1011711904,0.0871190462,-0.0731868249,-0.0192800231,-0.1369021074,0.021731224,0.0680793,0.00406474,0.00709674,-0.000105555,-0.00030967099999999997,0.00056776,0.004634791088489999,1.6522111267599998e-05,5.03637186276e-05,1.1141858025e-08,9.589612824099999e-08,3.2235141760000005e-07,0.0682871,-0.0127472,0.028600900000000002,-0.000105555,-3.93571e-05,0.00056776,0.004663128026410001,0.00016249110784000002,0.0008180114808100001,1.1141858025e-08,1.5489813204100002e-09,3.2235141760000005e-07
0.1238375607,-0.0050096336,-0.0064199115,-0.1204546265,-0.0237115194,0.0305038791,0.0496727,-0.014511099999999999,0.018575499999999998,-0.000105555,-0.00021888700000000002,0.00056776,0.00246737712529,0.00021057202320999996,0.00034504920024999995,1.1141858025e-08,4.791151876900001e-08,3.2235141760000005e-07,0.0680793,0.00406474,0.00709674,-0.000105555,-0.00030967099999999997,0.00056776,0.004634791088489999,1.6522111267599998e-05,5.03637186276e-05,1.1141858025e-08,9.589612824099999e-08,3.2235141760000005e-07
0.0279464551,-0.0206957109,-0.0638062289,0.0700203511,-0.002062537,-0.0610906379,0.0572524,-0.0129219,0.021275799999999997,-0.000105555,-0.000420534,0.00056776,0.0032778373057600002,0.00016697549961,0.0004526596656399999,1.1141858025e-08,1.76848845156e-07,3.2235141760000005e-07,0.0496727,-0.014511099999999999,0.018575499999999998,-0.000105555,-0.00021888700000000002,0.00056776,0.00246737712529,0.00021057202320999996,0.00034504920024999995,1.1141858025e-08,4.791151876900001e-08,3.2235141760000005e-07
